"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","0","test_limit_parameter_returns_expected_number_of_records[3]","tests","2026-09-25","passed","2026-09-25","","test_co2_api","",""
"","1","test_retryable_status_logs_warning","tests","2026-09-25","passed","2026-09-25","","test_logging","",""
"","1","test_response_structure","tests","2026-09-25","passed","2026-09-25","","test_elspotprices_api","",""
"","1","test_response_is_json","tests","2026-09-25","passed","2026-09-25","","test_co2_api","",""
"","0","test_dataset_override_applies_only_to_that_dataset","tests","2026-09-25","passed","2026-09-25","","test_retry_config","",""
"","0","test_default_retry_applies_to_any_dataset","tests","2026-09-25","passed","2026-09-25","","test_retry_config","",""
"","1","test_limit_parameter_returns_expected_number_of_records[1]","tests","2026-09-25","passed","2026-09-25","","test_co2_api","",""
"","3","test_record_missing_required_field_is_invalid","tests","2026-09-25","passed","2026-09-25","","test_schema_validation","",""
"","7","test_co2_response_matches_schema","tests","2026-09-25","passed","2026-09-25","","test_schema_validation","",""
"","78","test_invalid_dataset_returns_error_status","tests","2026-09-25","passed","2026-09-25","","test_co2_api","",""
"","1","test_limit_parameter_returns_expected_number_of_records[10]","tests","2026-09-25","passed","2026-09-25","","test_co2_api","",""
"","1","test_excessive_max_retries_logs_warning","tests","2026-09-25","passed","2026-09-25","","test_retry_config","",""
"","0","test_sane_max_retries_does_not_log_warning","tests","2026-09-25","passed","2026-09-25","","test_retry_config","",""
"","1","test_limit_parameter_returns_expected_number_of_records[3]","tests","2026-09-25","passed","2026-09-25","","test_elspotprices_api","",""
"","6","test_elspotprices_response_matches_schema","tests","2026-09-25","passed","2026-09-25","","test_schema_validation","",""
"","1","test_limit_zero_returns_all_records","tests","2026-09-25","passed","2026-09-25","","test_pagination","",""
"","0","test_dataset_override_can_set_its_own_jitter","tests","2026-09-25","passed","2026-09-25","","test_retry_config","",""
"","0","test_connection_timeout_raises","tests","2026-09-25","passed","2026-09-25","","test_negative_scenarios","",""
"","0","test_successful_request_does_not_log_warning","tests","2026-09-25","passed","2026-09-25","","test_logging","",""
"","3","test_record_missing_optional_field_is_valid","tests","2026-09-25","passed","2026-09-25","","test_schema_validation","",""
"","1","test_limit_parameter_returns_expected_number_of_records[10]","tests","2026-09-25","passed","2026-09-25","","test_elspotprices_api","",""
"","1","test_dataset_override_with_excessive_max_retries_logs_warning","tests","2026-09-25","passed","2026-09-25","","test_retry_config","",""
"","3","test_empty_records_list_is_valid","tests","2026-09-25","passed","2026-09-25","","test_schema_validation","",""
"","1","test_status_code_ok","tests","2026-09-25","passed","2026-09-25","","test_elspotprices_api","",""
"","1","test_pages_do_not_overlap","tests","2026-09-25","passed","2026-09-25","","test_pagination","",""
"","0","test_unknown_path_returns_404","tests","2026-09-25","passed","2026-09-25","","test_negative_scenarios","",""
"","0","test_custom_retry_configuration","tests","2026-09-25","passed","2026-09-25","","test_eds_client","",""
"","1","test_limit_parameter_returns_expected_number_of_records[5]","tests","2026-09-25","passed","2026-09-25","","test_co2_api","",""
"","1","test_filter_parameter_returns_matching_records[DK2]","tests","2026-09-25","passed","2026-09-25","","test_elspotprices_api","",""
"","1","test_response_structure","tests","2026-09-25","passed","2026-09-25","","test_co2_api","",""
"","1","test_status_code_ok","tests","2026-09-25","passed","2026-09-25","","test_co2_api","",""
"","1","test_sort_parameter_is_sent","tests","2026-09-25","passed","2026-09-25","","test_sorting","",""
"","0","test_invalid_dataset_returns_400","tests","2026-09-25","passed","2026-09-25","","test_negative_scenarios","",""
"","1","test_filter_parameter_returns_matching_records[DK1]","tests","2026-09-25","passed","2026-09-25","","test_co2_api","",""
"","1","test_filter_parameter_returns_matching_records[DK2]","tests","2026-09-25","passed","2026-09-25","","test_co2_api","",""
"","633","test_pagination_pages_do_not_overlap","tests","2026-09-25","passed","2026-09-25","","test_co2_api","",""
"","1","test_sort_ascending_returns_ordered_records","tests","2026-09-25","passed","2026-09-25","","test_sorting","",""
"","0","test_limit_parameter_returns_expected_number_of_records[1]","tests","2026-09-25","passed","2026-09-25","","test_elspotprices_api","",""
"","539","test_sort_descending_returns_ordered_records","tests","2026-09-25","passed","2026-09-25","","test_elspotprices_api","",""
"","1","test_filter_parameter_returns_matching_records[DK1]","tests","2026-09-25","passed","2026-09-25","","test_elspotprices_api","",""
"","0","test_parse_records_returns_typed_models_for_valid_json","tests","2026-09-25","passed","2026-09-25","","test_models","",""
"","0","test_limit_parameter_returns_expected_number_of_records[5]","tests","2026-09-25","passed","2026-09-25","","test_elspotprices_api","",""
"","0","test_backoff_jitter_is_configured_on_the_retry_object","tests","2026-09-25","passed","2026-09-25","","test_retry_config","",""
"","1","test_response_is_json","tests","2026-09-25","passed","2026-09-25","","test_elspotprices_api","",""
"","1","test_offset_parameter_is_sent","tests","2026-09-25","passed","2026-09-25","","test_pagination","",""
"","0","test_default_retry_configuration","tests","2026-09-25","passed","2026-09-25","","test_eds_client","",""
"","1","test_sort_descending_returns_ordered_records","tests","2026-09-25","passed","2026-09-25","","test_sorting","",""
"","0","test_parse_records_raises_on_missing_required_field","tests","2026-09-25","passed","2026-09-25","","test_models","",""
